HDI Rank (2017),Country_x,Country_Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Continent_Name,Continent_Code,Country_Name,Three_Letter_Country_Code,Country_Number,Country_y,Year_2017,lang_name,Capital,Currency,Ranking
168,Afghanistan,AFG,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373,0.38299999999999995,0.39799999999999996,0.408,0.41700000000000004,0.429,0.43700000000000006,0.45299999999999996,0.46299999999999997,0.47100000000000003,0.48200000000000004,0.48700000000000004,0.491,0.493,0.494,0.498,Asia,AS,Afghanistan,AFG,4.0,Afghanistan,34656032.0,Pashto,Kabul,Afghani,115
68,Albania,ALB,0.645,0.626,0.61,0.613,0.619,0.632,0.6409999999999999,0.6409999999999999,0.652,0.662,0.669,0.6759999999999999,0.682,0.6890000000000001,0.6940000000000001,0.7040000000000001,0.711,0.72,0.7240000000000001,0.7290000000000001,0.741,0.752,0.767,0.7709999999999999,0.773,0.7759999999999999,0.782,0.785,Europe,EU,Albania,ALB,8.0,Albania,2876101.0,Albanian,Tirana,Lek,122
85,Algeria,DZA,0.5770000000000001,0.581,0.587,0.591,0.595,0.6,0.608,0.617,0.627,0.636,0.644,0.653,0.664,0.674,0.684,0.6920000000000001,0.698,0.7070000000000001,0.7090000000000001,0.7190000000000001,0.7290000000000001,0.736,0.74,0.745,0.747,0.7490000000000001,0.753,0.754,Africa,AF,Algeria,DZA,12.0,Algeria,40606052.0,Tamazight (Latin),Algiers,Algerian Dinar,54
35,Andorra,AND,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.759,0.767,0.78,0.82,0.826,0.8190000000000001,0.8290000000000001,0.8290000000000001,0.831,0.83,0.828,0.8270000000000001,0.8490000000000001,0.85,0.853,0.8540000000000001,0.856,0.858,Europe,EU,Andorra,AND,20.0,Andorra,77281.0, ,Andorra la Vella,Euros,167
147,Angola,AGO,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.374,0.387,0.401,0.418,0.429,0.442,0.455,0.47100000000000003,0.49200000000000005,0.502,0.522,0.52,0.535,0.5429999999999999,0.5539999999999999,0.564,0.5720000000000001,0.5770000000000001,0.581,Africa,AF,Angola,AGO,24.0,Angola,28813463.0, ,Luanda,Angolan kwanza,62
70,Antigua and Barbuda,ATG,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7659999999999999,0.772,0.778,0.777,0.77,0.7659999999999999,0.762,0.765,0.768,0.77,0.775,0.778,0.78,North America,,Antigua and Barbuda,ATG,28.0,Antigua and Barbuda,100963.0, ,St. John's,East Caribbean Dollar,184
47,Argentina,ARG,0.7040000000000001,0.713,0.72,0.725,0.728,0.731,0.738,0.746,0.753,0.764,0.7709999999999999,0.7759999999999999,0.769,0.775,0.78,0.782,0.787,0.792,0.795,0.799,0.813,0.8190000000000001,0.818,0.82,0.82,0.8220000000000001,0.8220000000000001,0.825,South America,SA,Argentina,ARG,32.0,Argentina,43847430.0,Spanish,Buenos Aires,Peso,24
83,Armenia,ARM,0.631,0.628,0.58,0.588,0.599,0.605,0.612,0.623,0.636,0.642,0.647,0.652,0.6629999999999999,0.672,0.68,0.693,0.706,0.72,0.727,0.7240000000000001,0.728,0.731,0.737,0.742,0.745,0.748,0.7490000000000001,0.755,Europe,EU,Armenia,ARM,51.0,Armenia,2924816.0,Armenian,Yerevan,Dram,134
83,Armenia,ARM,0.631,0.628,0.58,0.588,0.599,0.605,0.612,0.623,0.636,0.642,0.647,0.652,0.6629999999999999,0.672,0.68,0.693,0.706,0.72,0.727,0.7240000000000001,0.728,0.731,0.737,0.742,0.745,0.748,0.7490000000000001,0.755,Europe,EU,Armenia,ARM,51.0,Armenia,2924816.0,Armenian,Yerevan,Dram,134
83,Armenia,ARM,0.631,0.628,0.58,0.588,0.599,0.605,0.612,0.623,0.636,0.642,0.647,0.652,0.6629999999999999,0.672,0.68,0.693,0.706,0.72,0.727,0.7240000000000001,0.728,0.731,0.737,0.742,0.745,0.748,0.7490000000000001,0.755,Asia,AS,Armenia,ARM,51.0,Armenia,2924816.0,Armenian,Yerevan,Dram,134
83,Armenia,ARM,0.631,0.628,0.58,0.588,0.599,0.605,0.612,0.623,0.636,0.642,0.647,0.652,0.6629999999999999,0.672,0.68,0.693,0.706,0.72,0.727,0.7240000000000001,0.728,0.731,0.737,0.742,0.745,0.748,0.7490000000000001,0.755,Asia,AS,Armenia,ARM,51.0,Armenia,2924816.0,Armenian,Yerevan,Dram,134
